subject_id,title,,authority_id,xml,,
5229,Capitoline she-wolf (Statue),http://id.loc.gov/authorities/names/n00009633,n00009633,http://id.loc.gov/authorities/names/n00009633.marcxml.xml,,
244,Sicily (Italy),http://id.loc.gov/authorities/names/n79018703,n2003040070,http://id.loc.gov/authorities/names/n79018703.marcxml.xml,,
4285,Museo di Roma in Trastevere,http://id.loc.gov/authorities/names/n2003053932,n83238019,http://id.loc.gov/authorities/names/n2003053932.marcxml.xml,,
7011,"Santa Pudenziana (Church : Rome, Italy)",http://id.loc.gov/authorities/names/n2004014700,n2004014700,http://id.loc.gov/authorities/names/n2004014700.marcxml.xml,,
7359,"Mural painting and decoration, Renaissance",http://id.loc.gov/authorities/subjects/sh85088594,sh85088594,http://id.loc.gov/authorities/subjects/sh85088594.marcxml.xml,,
3737,Selinus (Extinct city),http://id.loc.gov/authorities/subjects/sh91003755,sh91003755,https://lccn.loc.gov/sh91003755.marcxml.xml,,
445,Epitaphs,http://id.loc.gov/authorities/subjects/sh85044460,sh85044460,http://id.loc.gov/authorities/subjects/sh85044460.marcxml.xml,,
7317,Tébessa (Algeria),http://id.loc.gov/authorities/names/n2006016474,n2006016474,http://id.loc.gov/authorities/names/n2006016474.marcxml.xml,,
6238,"Villa Duodo (Monselice, Italy)",http://id.loc.gov/authorities/names/n2011010331,n2011010331,http://id.loc.gov/authorities/names/n2011010331.marcxml.xml,,
2945,"Marcus Aurelius (Rome, Italy)",http://id.loc.gov/authorities/names/n2013008694,n2013008694,http://id.loc.gov/authorities/names/n2013008694.marcxml.xml,,
3371,Tabursuq (Tunisia),http://id.loc.gov/authorities/names/n2013074408,n2013074408,http://id.loc.gov/authorities/names/n2013074408.marcxml.xml,,
6706,Naples (Italy),http://id.loc.gov/authorities/names/n79015689,n79015689,http://id.loc.gov/authorities/names/n79015689.marcxml.xml,,
6107,Bologna (Italy),http://id.loc.gov/authorities/names/n79021394,n79021394,http://id.loc.gov/authorities/names/n79021394.marcxml.xml,,
1989,"Vespasian, Emperor of Rome, 9-79",http://id.loc.gov/authorities/names/n50013948,n50013948,http://id.loc.gov/authorities/names/n50013948.marcxml.xml,,
1993,"Vespasian, Emperor of Rome, 9-79",http://id.loc.gov/authorities/names/n50013948,n50013948,http://id.loc.gov/authorities/names/n50013948.marcxml.xml,,
7270,"White, Stanford, 1853-1906",http://id.loc.gov/authorities/names/n50020242,n50020242,http://id.loc.gov/authorities/names/n50020242.marcxml.xml,,
5385,Ny Carlsberg glyptotek,http://id.loc.gov/authorities/names/n50052819,n50052819,http://id.loc.gov/authorities/names/n50052819.marcxml.xml,,
6564,Lindhos (Greece),http://id.loc.gov/authorities/names/n78022903,n78022903,http://id.loc.gov/authorities/names/n78022903.marcxml.xml,,
5621,Ansedonia (Italy),http://id.loc.gov/authorities/names/n79029391,n79029391,http://id.loc.gov/authorities/names/n79029391.marcxml.xml,,
2322,Ansedonia (Italy),http://id.loc.gov/authorities/names/n79029391,n79029391,http://id.loc.gov/authorities/names/n79029391.marcxml.xml,,
6699,Florence (Italy),http://id.loc.gov/authorities/names/n79027120,n79027120,http://id.loc.gov/authorities/names/n79027120.marcxml.xml,,
6686,Florence (Italy),http://id.loc.gov/authorities/names/n79027120,n79027120,http://id.loc.gov/authorities/names/n79027120.marcxml.xml,,
5780,"Palazzo Barberini (Rome, Italy)",http://id.loc.gov/authorities/names/n79040144,n79040144,http://id.loc.gov/authorities/names/n79040144.marcxml.xml,,
7259,Fototeca Unione,http://id.loc.gov/authorities/names/n79048451,n79048451,http://id.loc.gov/authorities/names/n79048451.marcxml.xml,,
7302,"Millon, Henry A.",http://id.loc.gov/authorities/names/n79062862,n79062862,http://id.loc.gov/authorities/names/n79062862.marcxml.xml,,
6760,"Santuario di Santo Stefano (Bologna, Italy)",http://id.loc.gov/authorities/names/n79067310,n79067310,http://id.loc.gov/authorities/names/n79067310.marcxml.xml,,
2117,"Domitian, Emperor of Rome, 51-96",http://id.loc.gov/authorities/names/n79077412,n79077412,http://id.loc.gov/authorities/names/n79077412.marcxml.xml,,
3704,Tarquinia (Italy),http://id.loc.gov/authorities/names/n79086771,n79086771,http://id.loc.gov/authorities/names/n79086771.marcxml.xml,,
2170,"Pietro, da Cortona, 1597-1669",http://id.loc.gov/authorities/names/n79109863,n79109863,http://id.loc.gov/authorities/names/n79109863.marcxml.xml,,
2082,"Zuccaro, Taddeo, 1529-1566",http://id.loc.gov/authorities/names/n80014948,n80014948,http://id.loc.gov/authorities/names/n80014948.marcxml.xml,,
5914,Pieve di Cellole,http://id.loc.gov/authorities/names/n80068892,n80068892,http://id.loc.gov/authorities/names/n80068892.marcxml.xml,,
2179,"Gimignani, Ludovico, 1643-1697",http://id.loc.gov/authorities/names/n80074689,n80074689,http://id.loc.gov/authorities/names/n80074689.marcxml.xml,,
3225,"Palazzo ducale (Venice, Italy)",http://id.loc.gov/authorities/names/n80086500,n80086500,http://id.loc.gov/authorities/names/n80086500.marcxml.xml,,
7209,"Victor Emmanuel III, King of Italy, 1869-1947",http://id.loc.gov/authorities/names/n80103764,n80103764,http://id.loc.gov/authorities/names/n80103764.marcxml.xml,,
4992,"Inscriptions, Latin",http://id.loc.gov/authorities/subjects/sh85066606,sh85066606,http://id.loc.gov/authorities/subjects/sh85066606.marcxml.xml,,
6371,Cimitero degli stranieri acattolici al Testaccio,http://id.loc.gov/authorities/names/n82053044,n82053044,http://id.loc.gov/authorities/names/n82053044.marcxml.xml,,
6768,"J_mi_ Ibn __l_n (Cairo, Egypt)",http://id.loc.gov/authorities/names/n82222173,n82222173,http://id.loc.gov/authorities/names/n82222173.marcxml.xml,,
5296,Aigues-Mortes (France),http://id.loc.gov/authorities/names/n83014894,n83014894,http://id.loc.gov/authorities/names/n83014894.marcxml.xml,,
7271,"Mead, William Rutherford, 1846-1928",http://id.loc.gov/authorities/names/n83017571,n83017571,http://id.loc.gov/authorities/names/n83017571.marcxml.xml,,
5737,"Hadrianeum (Rome, Italy)",http://id.loc.gov/authorities/names/n84093997,n84093997,http://id.loc.gov/authorities/names/n84093997.marcxml.xml,,
6822,"San Domenico (Church : Siena, Italy)",http://id.loc.gov/authorities/names/n84093999,n84093999,http://id.loc.gov/authorities/names/n84093999.marcxml.xml,,
5653,Lebanon,http://id.loc.gov/authorities/names/n79090014,n79090014,http://id.loc.gov/authorities/names/n79090014.marcxml.xml,,
3194,"S. Miniato al Monte (Church : Florence, Italy)",http://id.loc.gov/authorities/names/n84157413,n84157413,http://id.loc.gov/authorities/names/n84157413.marcxml.xml,,
3413,Cherchell (Algeria),http://id.loc.gov/authorities/names/n84239891,n84239891,http://id.loc.gov/authorities/names/n84239891.marcxml.xml,,
6144,Parma (Italy),http://id.loc.gov/authorities/names/n79021799,n79021799,http://id.loc.gov/authorities/names/n79021799.marcxml.xml,,
7109,"Woods, Marjorie Curry, 1947-",http://id.loc.gov/authorities/names/n85062611,n85062611,http://id.loc.gov/authorities/names/n85062611.marcxml.xml,,
1996,"Pius VII, Pope, 1742-1823",http://id.loc.gov/authorities/names/n85119541,n85119541,http://id.loc.gov/authorities/names/n85119541.marcxml.xml,,
6789,San Clemente a Casauria (Abbey),http://id.loc.gov/authorities/names/n85243719,n85243719,http://id.loc.gov/authorities/names/n85243719.marcxml.xml,,
6630,Khums (Libya : Province),http://id.loc.gov/authorities/names/n85281755,n85281755,http://id.loc.gov/authorities/names/n85281755.marcxml.xml,,
3395,Biskra (Algeria : Province),http://id.loc.gov/authorities/names/n85281897,n85281897,http://id.loc.gov/authorities/names/n85281897.marcxml.xml,,
6025,"Basilica di S. Frediano (Lucca, Italy)",http://id.loc.gov/authorities/names/n85297948,n85297948,http://id.loc.gov/authorities/names/n85297948.marcxml.xml,,
4588,"Campo Marzio (Rome, Italy)",http://id.loc.gov/authorities/names/n97042879,n97042879,http://id.loc.gov/authorities/names/n97042879.marcxml.xml,,
3598,"S. Croce in Gerusalemme (Church : Rome, Italy)",http://id.loc.gov/authorities/names/n86002597,n86002597,http://id.loc.gov/authorities/names/n86002597.marcxml.xml,,
6568,Cattedrale di Trani (Italy),http://id.loc.gov/authorities/names/n86030252,n86030252,http://id.loc.gov/authorities/names/n86030252.marcxml.xml,,
3615,"San Nicola in Carcere (Church : Rome, Italy)",http://id.loc.gov/authorities/names/n86050332,n86050332,http://id.loc.gov/authorities/names/n86050332.marcxml.xml,,
2121,"Fontana, Domenico, 1543-1607",http://id.loc.gov/authorities/names/n86836649,n86836649,http://id.loc.gov/authorities/names/n86836649.marcxml.xml,,
7392,"Acconci, Vito, 1940-",http://id.loc.gov/authorities/names/n87937711,n87937711,http://id.loc.gov/authorities/names/n87937711.marcxml.xml,,
5866,Reale Palazzina di caccia di Stupinigi,http://id.loc.gov/authorities/names/n88029351,n88029351,http://id.loc.gov/authorities/names/n88029351.marcxml.xml,,
2076,"Albertoni, Ludovica",http://id.loc.gov/authorities/names/n88212384,n88212384,http://id.loc.gov/authorities/names/n88212384.marcxml.xml,,
2078,Altieri Chapel,http://id.loc.gov/authorities/names/n88212385,n88212385,http://id.loc.gov/authorities/names/n88212385.marcxml.xml,,
2037,"Mercati Traianei (Rome, Italy)",http://id.loc.gov/authorities/names/n88624655,n88624655,http://id.loc.gov/authorities/names/n88624655.marcxml.xml,,
5905,Cattedrale di Lucca,http://id.loc.gov/authorities/names/n89602668,n89602668,http://id.loc.gov/authorities/names/n89602668.marcxml.xml,,
