Field	Subfield	In Records	Total
000		1147	1147
001		1147	1147
003		1147	1147
005		1147	1147
008		1147	1147
010		1147	1147
	$a		1147
	$z		116
024		4	36
	$2		36
	$a		36
034		259	302
	$f		302
	$g		302
	$d		302
	$e		302
	$2		302
035		423	431
	$a		431
040		1147	1147
	$b		579
	$c		1147
	$a		1147
	$d		1760
	$e		204
043		271	271
	$a		273
046		42	44
	$s		10
	$f		31
	$g		22
	$t		2
	$2		16
053		194	262
	$b		95
	$c		129
	$a		262
072		2	2
	$2		2
	$a		2
073		2	2
	$a		7
	$z		2
100		81	81
	$b		3
	$c		24
	$a		81
	$q		5
	$v		1
	$d		56
110		233	233
	$b		1
	$a		233
130		5	5
	$p		1
	$a		5
150		373	373
	$a		373
	$v		12
	$z		103
	$x		6
	$y		2
151		453	453
	$x		29
	$y		1
	$v		3
	$a		453
180		2	2
	$x		2
260		1	1
	$i		2
	$a		2
360		29	29
	$i		62
	$a		43
368		56	73
	$b		57
	$c		15
	$a		18
	$d		2
	$2		54
370		71	76
	$b		10
	$c		44
	$a		19
	$f		36
	$e		23
	$2		61
371		2	2
	$b		1
	$a		2
	$v		1
	$d		1
	$e		1
	$u		1
	$m		1
372		18	20
	$2		18
	$a		27
373		10	16
	$2		14
	$t		8
	$a		19
	$s		7
374		26	32
	$2		27
	$t		1
	$a		58
	$s		1
375		26	27
	$2		7
	$a		27
377		19	19
	$a		20
378		5	5
	$q		5
380		1	1
	$2		1
	$a		1
400		48	384
	$d		158
	$c		237
	$a		384
	$q		10
	$w		17
	$x		1
	$b		13
410		229	991
	$b		124
	$a		991
	$w		61
430		4	43
	$p		17
	$a		43
	$w		1
450		220	472
	$a		472
	$v		1
	$w		36
	$z		10
	$x		15
	$y		2
451		372	1753
	$x		23
	$y		22
	$a		1753
	$w		160
480		1	1
	$w		1
	$x		1
500		6	6
	$c		5
	$a		6
510		24	31
	$b		4
	$i		6
	$a		31
	$w		13
550		432	670
	$a		670
	$v		2
	$w		579
	$z		290
	$x		17
	$y		2
551		133	148
	$x		87
	$i		1
	$a		148
	$w		113
642		1	1
	$5		2
	$a		1
643		1	1
	$b		1
	$a		1
644		1	1
	$5		1
	$a		1
645		1	1
	$5		2
	$a		1
646		1	1
	$5		1
	$a		1
667		207	224
	$a		224
670		850	2776
	$b		2210
	$a		2776
	$u		15
675		73	73
	$a		132
678		4	4
	$a		4
680		25	26
	$i		34
	$a		23
681		21	23
	$i		23
	$a		23
682		3	3
	$0		1
	$i		4
	$a		1
781		378	378
	$w		2
	$z		734
