Field	Subfield	In Records	Total
000		16228	16228
001		16228	16228
003		16228	16228
005		16228	16228
008		16228	16228
010		9012	9012
	$a		9012
	$z		565
022		641	644
	$a		644
024		11619	11619
	$2		11619
	$a		11619
035		6033	6073
	$a		6073
040		16228	16228
	$b		5973
	$c		15848
	$a		16175
	$d		10758
	$e		1418
046		178	178
	$s		3
	$v		9
	$t		1
	$k		175
	$2		4
	$l		12
050		545	566
	$d		81
	$b		547
	$5		48
	$a		566
053		33	37
	$5		1
	$b		14
	$c		7
	$a		37
060		1	1
	$b		1
	$a		1
086		2	2
	$5		1
	$a		2
090		14	14
	$b		10
	$a		14
130		16228	16228
	$a		16228
	$f		8
	$8		1
	$d		9
	$0		11714
	$1		13
	$x		42
	$y		3
	$s		19
	$p		2247
	$v		15
	$t		2
	$k		6
	$n		512
	$l		125
	$9		2059
336		7	7
	$2		7
	$b		2
	$a		7
360		4	4
	$i		10
	$a		9
368		1	1
	$2		1
	$a		1
370		58	61
	$2		33
	$t		3
	$s		6
	$g		67
373		18	20
	$2		20
	$t		2
	$a		23
	$s		3
377		35	35
	$a		43
380		450	452
	$2		71
	$a		495
381		16	16
	$2		6
	$a		17
400		118	212
	$c		65
	$a		212
	$f		2
	$d		79
	$p		6
	$q		3
	$w		19
	$t		209
	$k		3
	$n		3
	$l		3
	$b		9
410		4826	6202
	$c		1
	$a		6202
	$f		1
	$g		5
	$d		6
	$s		6
	$p		1027
	$w		523
	$t		5975
	$k		174
	$n		429
	$l		1
	$b		2252
411		6	6
	$d		1
	$c		1
	$a		6
	$w		1
	$t		6
430		6621	11960
	$a		11960
	$f		13
	$g		3
	$9		416
	$d		20
	$x		35
	$y		1
	$s		18
	$p		2597
	$v		9
	$w		304
	$t		8
	$k		5
	$h		1
	$n		459
	$l		28
450		12	18
	$x		2
	$a		18
	$w		1
500		13	18
	$d		4
	$c		1
	$a		18
	$q		5
	$w		13
	$t		7
	$k		2
	$i		13
	$n		1
510		31	32
	$b		5
	$a		32
	$g		1
	$p		1
	$t		15
	$k		15
	$i		2
	$n		15
	$d		1
	$w		3
530		1155	1310
	$s		5
	$a		1310
	$w		741
	$t		1
	$9		14
	$i		35
	$n		54
	$x		3
	$l		6
	$p		258
550		10	15
	$x		4
	$a		15
	$w		11
551		4	5
	$x		5
	$y		5
	$a		5
	$w		5
640		87	88
	$a		88
	$z		20
641		92	97
	$a		97
	$z		11
642		5822	5966
	$5		8819
	$8		3
	$d		156
	$a		5963
643		10565	11514
	$d		1252
	$b		12221
	$a		12611
644		8240	8315
	$5		9435
	$b		34
	$d		126
	$a		8315
645		8346	8706
	$5		13056
	$d		590
	$a		8706
646		8238	8422
	$5		9489
	$8		1
	$d		191
	$a		8421
663		1	1
	$b		1
	$a		1
	$t		1
664		2	2
	$b		2
	$a		2
	$t		1
667		1634	1857
	$5		5
	$a		1857
670		15746	20386
	$b		11646
	$a		20382
	$u		10
675		827	827
	$a		956
678		12	12
	$a		12
680		20	22
	$i		31
	$a		24
681		18	23
	$i		23
	$a		23
730		303	303
	$a		303
	$p		1
	$9		287
	$2		1
	$0		15
907		7075	7075
	$b		7075
	$c		7075
	$a		7075
	$f		7075
	$d		7075
	$e		7075
942		16228	16228
	$a		16228
