001,003,1300,1301,1308,1309,130a,130d,130f,130k,130l,130n,130p,130s,130t,130v,130x,130y,source,term_type
10000305,ItRAAR,"test record","test record","test record","test record","test record","test record","test record","test record","test record","test record","test record","test record","test record","test record","test record","test record",ItRAAR;ItRAAR,UNIF_TITLE
10000305,ItRAAR,http://id.loc.gov/authorities/names/n42021358,,,,"Romanica Gothoburgensia",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10000478,ItRAAR,http://id.loc.gov/authorities/names/n42008350,,,,"Corpus scriptorum Christianorum Orientalium.",,,,,,Subsidia,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10000503,ItRAAR,http://id.loc.gov/authorities/names/n83711262,,,,"Pubblicazioni della Facoltà di scienze dell'educazione dell'Università Pontificia salesiana di Roma.",,,,,,"Enciclopedia delle scienze dell'educazione",,,,,,DLC;DLC,UNIF_TITLE
10000552,ItRAAR,http://id.loc.gov/authorities/names/n42013832,,,,"Ius Romanum Medii Aevi",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10000649,ItRAAR,http://id.loc.gov/authorities/names/n83704396,,,,"Profili di storia contemporanea",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10000833,DLC,http://id.loc.gov/authorities/names/n2001032322,,,,"Biblioteca dell'Accademia Olubrense (Series)",,,,,,,,,,,,DLC;eng;DLC,UNIF_TITLE
10001323,ItRAAR,http://id.loc.gov/authorities/names/nr97028690,,,,"Collectanea Croatico-Hieronymiana de Urbe",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10002353,ItRAAR,http://id.loc.gov/authorities/names/n83706311,,,,"Bayerische Archivinventare",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10002766,ItRAAR,,,,,"Veröffentlichungen des Max-Planck-Instituts für Geschichte.",,,,,,"Studien zur Germania sacra",,,,,,BAV,UNIF_TITLE
10002906,ItRAAR,http://id.loc.gov/authorities/names/n88509894,,,,"Saggi e documenti per la storia dell'Università di Siena",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10003008,ItRAAR,http://id.loc.gov/authorities/names/n83734940,,,,"Saggi e documenti (Alinea editrice).",,,,,,"Sezione Architettura e urbanistica",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10003171,ItRAAR,http://id.loc.gov/authorities/names/nr00004021,,,,"Oxford pamphlets on world affairs",,,,,,,,,,,,BAV,UNIF_TITLE
10003193,ItRAAR,http://id.loc.gov/authorities/names/n86730709,,,,"Publicaciones de la Sección de Música",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10003580,ItRAAR,http://id.loc.gov/authorities/names/n42019989,,,,"Pubblicazioni dell'Università di Urbino",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10004035,ItRAAR,http://id.loc.gov/authorities/names/n42006825,,,,"Classics of Western spirituality",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10004167,ItRAAR,http://id.loc.gov/authorities/names/n42027522,,,,"Biblioteca románica hispánica.",,,,,"IV,",Textos,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10004264,ItRAAR,http://id.loc.gov/authorities/names/n95105349,,,,"Biblioteca diocesana conquense",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10004372,ItRAAR,http://id.loc.gov/authorities/names/n83742100,,,,"Publicaciones de la Fundación Universitaria Española.",,,,,,Conferencias,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10004617,ItRAAR,http://id.loc.gov/authorities/names/n83737034,,,,"Archiv des Historischen Vereins des Kantons Bern",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10004841,ItRAAR,http://id.loc.gov/authorities/names/n86736242,,,,"Veröffentlichungen des Kirchenhistorischen Instituts der Katholisch-Theologischen Fakultät der Universität Wien",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
